HELLOFRESH_WEEK,Brand,BOX_ID,DU_ID,DELIVERY_REGION,DELIVERY_DATE,DC,Carrier,TRACKING_CODE,WEEKDAY,PACKING_DAY,CUSTOMER_ID,STATE,POSTCODE,TIME_IN_TRANSIT,MESSAGE,CARRIER_CREATE_TIME,local_datetime,Local Date,Responsible Party,OTP Groups,DELIVERED,Error?,COMPLAINT,DETAIL_1,是否看照片
2023-W12,US,US267897720,H2678977200,AZ_AXLE-SALCA,3/22/2023,AZ,AXLE,SCD0008698900497195,Wednesday,Monday,28290875,CA,94568,2,SHIPMENT.RETURN_READY,3/23/2023 4:17:20 下午,3/23/2023 9:17:20 上午,3/23/2023,FINAL MILE,Undelivered,0,0,,,是
2023-W12,US,US267900636,H2679006360,NJ_AXLE-EWRNJ,3/22/2023,NJ,AXLE,SCD0970110406491155,Wednesday,Tuesday,5235559,NJ,7748,1,SHIPMENT.DROPOFF_SUCCEEDED,3/23/2023 5:51:49 下午,3/23/2023 1:51:49 下午,3/23/2023,FINAL MILE,Late +1,1,1,"driver_delivered_to_wrong_address,external_box_damaged","box_received,leaking",是
2023-W12,US,US267988326,H2679883260,AZ_AXLE-LAXCA,3/22/2023,AZ,AXLE,SCD0970110406492980,Wednesday,Tuesday,14872282,CA,90731,1,SHIPMENT.DROPOFF_FAILED,3/22/2023 7:16:05 下午,3/22/2023 12:16:05 下午,3/22/2023,FINAL MILE,Undelivered,0,1,exception,failure,是
2023-W12,US,US267988926,H2679889260,AZ_AXLE-LAXCA,3/22/2023,AZ,AXLE,SCD0970110406493007,Wednesday,Tuesday,49051326,CA,92618,1,SHIPMENT.DROPOFF_SUCCEEDED,3/24/2023 2:05:23 上午,3/23/2023 7:05:23 下午,3/23/2023,FINAL MILE,Late +1,1,1,no_progress_in_tracking,,是
2023-W12,US,US267988951,H2679889510,AZ_AXLE-LAXCA,3/22/2023,AZ,AXLE,SCD0970110406493019,Wednesday,Tuesday,49051259,CA,92865,1,SHIPMENT.DROPOFF_FAILED,3/22/2023 8:24:22 下午,3/22/2023 1:24:22 下午,3/22/2023,FINAL MILE,Undelivered,0,1,exception,failure,是
2023-W12,US,US267990184,H2679901840,AZ_AXLE-SALCA,3/22/2023,AZ,AXLE,SCD0008698900498005,Wednesday,Monday,49054100,CA,94123,2,SHIPMENT.RECEIVED_OK,3/22/2023 7:19:52 上午,3/22/2023 12:19:52 上午,3/22/2023,FINAL MILE,Undelivered,0,1,exception,failure,是
2023-W12,US,US267992458,H2679924580,AZ_AXLE-SALCA,3/23/2023,AZ,AXLE,SCD0008698900498599,Thursday,Tuesday,28770560,CA,95112,2,SHIPMENT.DROPOFF_SUCCEEDED,3/24/2023 7:59:42 下午,3/24/2023 12:59:42 下午,3/24/2023,FINAL MILE,Late +1,1,1,exception,failure,是
2023-W12,US,US267995441,H2679954410,NW_AXLE-LAXCA,3/23/2023,NW,AXLE,SCD0970110406497273,Thursday,Wednesday,43123919,CA,91320,1,SHIPMENT.RETURN_READY,3/24/2023 12:10:11 上午,3/23/2023 5:10:11 下午,3/23/2023,FINAL MILE,Undelivered,0,0,,,是
2023-W12,US,US268005535,H2680055350,AZ_AXLE-LAXCA,3/23/2023,AZ,AXLE,SCD0970110406495628,Thursday,Wednesday,16972158,CA,92501,1,SHIPMENT.DROPOFF_FAILED,3/23/2023 7:52:21 下午,3/23/2023 12:52:21 下午,3/23/2023,FINAL MILE,Undelivered,0,1,exception,failure,是
2023-W12,US,US268007916,H2680079160,NJ_AXLE-JFKNY,3/23/2023,NJ,AXLE,SCD0970110406495030,Thursday,Wednesday,47253004,NY,10065,1,SHIPMENT.DROPOFF_FAILED,3/24/2023 6:29:33 下午,3/24/2023 2:29:33 下午,3/24/2023,FINAL MILE,Undelivered,0,1,exception,failure,是
2023-W12,US,US268010033,H2680100330,AZ_AXLE-LAXCA,3/23/2023,AZ,AXLE,SCD0970110406493855,Thursday,Wednesday,46948055,CA,92058,1,SHIPMENT.RETURN_READY,3/25/2023 6:04:15 下午,3/25/2023 11:04:15 上午,3/25/2023,FINAL MILE,Undelivered,0,1,no_progress_in_tracking,,是
2023-W12,US,US268010392,H2680103920,NW_AXLE-LAXCA,3/23/2023,NW,AXLE,SCD0970110406497893,Thursday,Wednesday,16557531,CA,91301,1,SHIPMENT.PICKUP_READY,3/23/2023 2:19:17 下午,3/23/2023 7:19:17 上午,3/23/2023,FINAL MILE,Undelivered,0,0,,,是
